Datum,team1,team2,score1,something,score2,Dec,Period,Arena,Att,hej,hej2,hej3
2021-03-09,HV71HV71,FrölundaFHC,1,-,3,Reg,0-1, 0-1, 1-1,Husqvarna Garden,0
2021-03-07,BrynäsBIF,LeksandLIF,5,-,6,Reg,1-2, 2-2, 2-2,Monitor ERP Arena,0
2021-03-06,MalmöMIF,FärjestadFBK,4,-,3,SO,1-1, 0-0, 2-2, 0-0, 1-0,Malmö Arena,0
2021-03-05,ÖrebroÖRE,BrynäsBIF,3,-,2,OT,2-0, 0-0, 0-2, 1-0,Behrn Arena,0
2021-03-04,FärjestadFBK,LinköpingLHC,2,-,5,Reg,0-2, 2-0, 0-3,Löfbergs Arena,8
2021-03-02,MalmöMIF,FrölundaFHC,4,-,0,Reg,0-0, 2-0, 2-0,Malmö Arena,0
2021-02-28,MalmöMIF,LuleåLHF,5,-,3,Reg,1-0, 3-1, 1-2,Malmö Arena,0
2021-02-27,RögleRBK,SkellefteåSKE,4,-,2,Reg,0-1, 2-1, 2-0,Catena Arena,8
2021-02-27,VäxjöVLH,LuleåLHF,3,-,2,Reg,0-0, 2-1, 1-1,Vida Arena,8
2021-02-27,LinköpingLHC,ÖrebroÖRE,4,-,2,Reg,1-0, 2-1, 1-1,Saab Arena,0
2021-02-27,MalmöMIF,HV71HV71,3,-,2,Reg,2-1, 1-0, 0-1,Malmö Arena,0
2021-02-27,FrölundaFHC,DjurgårdenDIF,2,-,3,OT,1-1, 1-1, 0-0, 0-1,Scandinavium,0
2021-02-25,LuleåLHF,FrölundaFHC,3,-,4,Reg,1-0, 2-1, 0-3,Coop Norrbotten Arena,0
2021-02-25,ÖrebroÖRE,RögleRBK,5,-,2,Reg,2-1, 2-1, 1-0,Behrn Arena,0
2021-02-25,VäxjöVLH,LinköpingLHC,2,-,1,OT,0-0, 0-0, 1-1, 1-0,Vida Arena,8
2021-02-25,FärjestadFBK,LeksandLIF,5,-,3,Reg,1-2, 3-1, 1-0,Löfbergs Arena,8
2021-02-25,HV71HV71,SkellefteåSKE,0,-,2,Reg,0-0, 0-1, 0-1,Husqvarna Garden,0
2021-02-25,MalmöMIF,DjurgårdenDIF,3,-,1,Reg,0-0, 0-1, 3-0,Malmö Arena,0
2021-02-23,ÖrebroÖRE,DjurgårdenDIF,1,-,0,Reg,1-0, 0-0, 0-0,Behrn Arena,0
2021-02-23,RögleRBK,FärjestadFBK,0,-,4,Reg,0-3, 0-0, 0-1,Catena Arena,8
2021-02-23,LinköpingLHC,SkellefteåSKE,2,-,5,Reg,0-2, 2-1, 0-2,Saab Arena,0
2021-02-20,LuleåLHF,DjurgårdenDIF,4,-,5,Reg,1-1, 3-1, 0-3,Coop Norrbotten Arena,0
2021-02-20,ÖrebroÖRE,LeksandLIF,1,-,2,Reg,1-0, 0-0, 0-2,Behrn Arena,0
2021-02-20,FärjestadFBK,HV71HV71,4,-,3,OT,1-1, 2-0, 0-2, 1-0,Löfbergs Arena,8
2021-02-20,OskarshamnIKO,LinköpingLHC,4,-,1,Reg,0-0, 3-1, 1-0,Be-Ge Hockey Center,8
2021-02-20,SkellefteåSKE,BrynäsBIF,2,-,1,OT,0-0, 1-1, 0-0, 1-0,Skellefteå Kraft Arena,0
2021-02-20,FrölundaFHC,RögleRBK,0,-,4,Reg,0-0, 0-3, 0-1,Scandinavium,0
2021-02-18,SkellefteåSKE,LeksandLIF,3,-,6,Reg,0-0, 2-4, 1-2,Skellefteå Kraft Arena,0
2021-02-18,BrynäsBIF,HV71HV71,2,-,1,OT,0-1, 1-0, 0-0, 1-0,Monitor ERP Arena,0
2021-02-18,DjurgårdenDIF,RögleRBK,0,-,3,Reg,0-0, 0-2, 0-1,Hovet,0
2021-02-18,FärjestadFBK,LuleåLHF,3,-,2,OT,0-0, 1-1, 1-1, 1-0,Löfbergs Arena,8
2021-02-18,LinköpingLHC,FrölundaFHC,2,-,0,Reg,0-0, 1-0, 1-0,Saab Arena,0
2021-02-18,OskarshamnIKO,MalmöMIF,2,-,3,Reg,1-1, 1-1, 0-1,Be-Ge Hockey Center,8
2021-02-16,LuleåLHF,FärjestadFBK,3,-,2,OT,0-1, 1-1, 1-0, 1-0,Coop Norrbotten Arena,0
2021-02-16,LeksandLIF,LinköpingLHC,2,-,0,Reg,1-0, 1-0, 0-0,Tegera Arena,8
2021-02-16,ÖrebroÖRE,SkellefteåSKE,3,-,2,Reg,0-1, 1-0, 2-1,Behrn Arena,0
2021-02-16,RögleRBK,BrynäsBIF,6,-,3,Reg,2-2, 1-1, 3-0,Catena Arena,8
2021-02-16,HV71HV71,DjurgårdenDIF,1,-,3,Reg,1-0, 0-1, 0-2,Husqvarna Garden,0
2021-02-16,OskarshamnIKO,VäxjöVLH,3,-,1,Reg,0-0, 0-0, 3-1,Be-Ge Hockey Center,8
2021-02-16,FrölundaFHC,MalmöMIF,2,-,3,Reg,0-1, 2-1, 0-1,Scandinavium,0
2021-02-11,BrynäsBIF,MalmöMIF,2,-,0,Reg,2-0, 0-0, 0-0,Monitor ERP Arena,0
2021-02-09,DjurgårdenDIF,MalmöMIF,4,-,3,Reg,1-1, 1-1, 2-1,Hovet,0
2021-02-08,HV71HV71,BrynäsBIF,2,-,1,OT,0-1, 0-0, 1-0, 1-0,Husqvarna Garden,0
2021-02-06,LeksandLIF,FrölundaFHC,3,-,2,Reg,0-0, 2-2, 1-0,Tegera Arena,8
2021-02-06,OskarshamnIKO,SkellefteåSKE,1,-,4,Reg,1-1, 0-2, 0-1,Be-Ge Hockey Center,8
2021-02-06,LuleåLHF,RögleRBK,2,-,3,SO,0-1, 1-1, 1-0, 0-0, 0-1,Coop Norrbotten Arena,0
2021-02-06,DjurgårdenDIF,VäxjöVLH,2,-,3,Reg,0-0, 1-1, 1-2,Hovet,0
2021-02-06,LinköpingLHC,FärjestadFBK,3,-,2,Reg,0-1, 2-0, 1-1,Saab Arena,0
2021-02-06,HV71HV71,ÖrebroÖRE,4,-,1,Reg,1-1, 2-0, 1-0,Husqvarna Garden,0
2021-02-06,MalmöMIF,BrynäsBIF,0,-,3,Reg,0-0, 0-1, 0-2,Malmö Arena,0
2021-02-04,SkellefteåSKE,DjurgårdenDIF,4,-,1,Reg,0-1, 2-0, 2-0,Skellefteå Kraft Arena,0
2021-02-04,ÖrebroÖRE,FrölundaFHC,3,-,6,Reg,1-1, 0-1, 2-4,Behrn Arena,0
2021-02-04,BrynäsBIF,LuleåLHF,1,-,3,Reg,0-1, 0-1, 1-1,Monitor ERP Arena,0
2021-02-04,RögleRBK,HV71HV71,6,-,7,OT,1-3, 4-2, 1-1, 0-1,Catena Arena,0
2021-02-04,VäxjöVLH,LeksandLIF,2,-,3,OT,0-1, 2-1, 0-0, 0-1,Vida Arena,8
2021-02-04,FärjestadFBK,OskarshamnIKO,3,-,2,OT,1-0, 0-2, 1-0, 1-0,Löfbergs Arena,8
2021-02-04,MalmöMIF,LinköpingLHC,3,-,2,Reg,1-1, 1-0, 1-1,Malmö Arena,0
2021-02-03,BrynäsBIF,LuleåLHF,1,-,5,Reg,0-2, 1-1, 0-2,Monitor ERP Arena,0
2021-02-02,LeksandLIF,ÖrebroÖRE,1,-,5,Reg,1-4, 0-0, 0-1,Tegera Arena,8
2021-02-02,RögleRBK,MalmöMIF,1,-,2,SO,0-0, 0-1, 1-0, 0-0, 0-1,Catena Arena,8
2021-02-02,LinköpingLHC,VäxjöVLH,1,-,2,SO,0-0, 1-1, 0-0, 0-0, 0-1,Saab Arena,0
2021-02-02,OskarshamnIKO,FärjestadFBK,1,-,4,Reg,1-1, 0-2, 0-1,Be-Ge Hockey Center,8
2021-01-31,LuleåLHF,SkellefteåSKE,1,-,4,Reg,1-1, 0-0, 0-3,Coop Norrbotten Arena,0
2021-01-30,LuleåLHF,HV71HV71,4,-,3,Reg,2-0, 2-1, 0-2,Coop Norrbotten Arena,0
2021-01-30,VäxjöVLH,OskarshamnIKO,3,-,4,OT,2-1, 0-1, 1-1, 0-1,Vida Arena,8
2021-01-30,FärjestadFBK,ÖrebroÖRE,4,-,3,SO,0-1, 2-0, 1-2, 0-0, 1-0,Löfbergs Arena,0
2021-01-30,SkellefteåSKE,RögleRBK,2,-,0,Reg,0-0, 1-0, 1-0,Skellefteå Kraft Arena,0
2021-01-30,LeksandLIF,DjurgårdenDIF,3,-,2,SO,0-0, 2-0, 0-2, 0-0, 1-0,Tegera Arena,8
2021-01-30,LinköpingLHC,MalmöMIF,6,-,3,Reg,1-1, 3-0, 2-2,Saab Arena,0
2021-01-30,FrölundaFHC,BrynäsBIF,7,-,3,Reg,2-2, 2-1, 3-0,Scandinavium,0
2021-01-28,SkellefteåSKE,LinköpingLHC,6,-,0,Reg,4-0, 1-0, 1-0,Skellefteå Kraft Arena,0
2021-01-28,ÖrebroÖRE,LuleåLHF,4,-,1,Reg,1-0, 2-1, 1-0,Behrn Arena,0
2021-01-28,BrynäsBIF,RögleRBK,4,-,5,SO,1-1, 1-2, 2-1, 0-0, 0-1,Monitor ERP Arena,0
2021-01-28,DjurgårdenDIF,FärjestadFBK,0,-,3,Reg,0-0, 0-2, 0-1,Hovet,0
2021-01-28,HV71HV71,VäxjöVLH,2,-,4,Reg,1-0, 1-3, 0-1,Husqvarna Garden,0
2021-01-28,OskarshamnIKO,LeksandLIF,6,-,3,Reg,2-1, 3-2, 1-0,Be-Ge Hockey Center,8
2021-01-26,BrynäsBIF,LinköpingLHC,3,-,5,Reg,2-1, 1-2, 0-2,Monitor ERP Arena,0
2021-01-26,DjurgårdenDIF,HV71HV71,4,-,5,Reg,1-2, 2-2, 1-1,Hovet,0
2021-01-26,VäxjöVLH,ÖrebroÖRE,6,-,2,Reg,1-1, 1-1, 4-0,Vida Arena,8
2021-01-23,DjurgårdenDIF,SkellefteåSKE,0,-,2,Reg,0-1, 0-0, 0-1,Hovet,0
2021-01-23,VäxjöVLH,BrynäsBIF,5,-,2,Reg,1-0, 1-1, 3-1,Vida Arena,8
2021-01-23,LinköpingLHC,HV71HV71,0,-,1,Reg,0-1, 0-0, 0-0,Saab Arena,0
2021-01-23,LeksandLIF,FärjestadFBK,2,-,3,Reg,1-0, 0-1, 1-2,Tegera Arena,8
2021-01-23,RögleRBK,LuleåLHF,2,-,1,OT,1-0, 0-0, 0-1, 1-0,Catena Arena,8
2021-01-23,FrölundaFHC,ÖrebroÖRE,0,-,3,Reg,0-0, 0-2, 0-1,Scandinavium,0
2021-01-21,DjurgårdenDIF,RögleRBK,3,-,5,Reg,0-3, 0-1, 3-1,Hovet,0
2021-01-21,LuleåLHF,VäxjöVLH,0,-,2,Reg,0-0, 0-0, 0-2,Coop Norrbotten Arena,0
2021-01-21,SkellefteåSKE,HV71HV71,4,-,2,Reg,1-0, 1-2, 2-0,Skellefteå Kraft Arena,0
2021-01-21,BrynäsBIF,OskarshamnIKO,3,-,1,Reg,2-0, 1-1, 0-0,Monitor ERP Arena,0
2021-01-21,FrölundaFHC,LeksandLIF,4,-,5,Reg,0-2, 1-1, 3-2,Scandinavium,0
2021-01-19,LuleåLHF,SkellefteåSKE,2,-,3,SO,0-0, 1-0, 1-2, 0-0, 0-1,Coop Norrbotten Arena,0
2021-01-19,FrölundaFHC,LinköpingLHC,1,-,2,Reg,0-1, 1-1, 0-0,Scandinavium,0
2021-01-19,BrynäsBIF,ÖrebroÖRE,2,-,0,Reg,0-0, 1-0, 1-0,Monitor ERP Arena,0
2021-01-19,RögleRBK,DjurgårdenDIF,2,-,3,SO,2-1, 0-1, 0-0, 0-0, 0-1,Catena Arena,8
